sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
144-49,9.9999,5.3333,1.3333,3.3333,1.3333,3.3333,1.3333,0,0,3.3333,0,0
144-5,81.3334,1.3333,26.6667,53.3334,20.6667,51.3334,20.6667,0,0,51.3334,0,0
144-50,17.3334,4.6667,1.3334,11.3333,0.6667,11.3333,0.6667,0,0,11.3333,0,0
144-51,29.3333,9.3333,0.6667,19.3333,0.6667,18.6666,0.6667,0,0,18.6666,0,0
144-52,14.6667,6,0,8.6667,0,8,0,0,0,8,0,0
144-53,26,8,0.6667,17.3333,0.6667,17.3333,0.6667,0,0,17.3333,0,0
144-54,32,15.3333,0,16.6667,0,16.6667,0,0,0,16.6667,0,0
144-55,22.0001,14.6667,0,7.3334,0,6.6667,0,0,0,6.6667,0,0
144-56,22.0001,8,0.6667,13.3334,0,12.6667,0,0.6667,0,12,0,0
144-57,9.3333,0.6667,1.3333,7.3333,0,6.6666,0,0,0,6.6666,0,0
144-58,7.3333,3.3333,0,4,0,4,0,0,0,4,0,0
144-59,9.3334,6.6667,0,2.6667,0,1.3334,0,0,0,1.3334,0,0
144-6,77.3334,1.3333,34.6667,41.3334,16.6667,40.6667,16.6667,0,0,40.6667,0,0
144-60,15.3333,8,0,7.3333,0,6,0,0,0,6,0,0
144-61,17.3334,4.6667,0,12.6667,0,10,0,0,0,10,0,0
144-62,19.3334,4,0.6667,14.6667,0,12,0,0,0,12,0,0
144-63,30,15.3333,0.6667,14,0,14,0,0,0,14,0,0
144-64,30.6666,5.3333,2,23.3333,0,23.3333,0,0,0,23.3333,0,0
144-65,18,2.6667,0,15.3333,0,14,0,0,0,14,0,0
144-66,28.6668,4.6667,0.6667,23.3334,0,23.3334,0,0,0,23.3334,0,0
144-67,20.0001,4,1.3334,14.6667,0.6667,14.6667,0,0,0.6667,14.6667,0,0
144-68,12.6667,0,0.6667,12,0.6667,11.3333,0.6667,0,0,11.3333,0,0
144-69,16.6667,0.6667,0,16,0,15.3333,0,0,0,15.3333,0,0
144-7,130.6667,0,43.3333,87.3334,23.3333,86.6667,23.3333,0,0,86.6667,0,0
144-70,20,1.3333,0,18.6667,0,18.6667,0,0,0,18.6667,0,0
144-71,19.3334,0.6667,0.6667,18,0,18,0,0,0,18,0,0
144-72,25.3333,1.3333,1.3334,22.6666,0.6667,22.6666,0.6667,0,0,22.6666,0,0
144-73,39.3334,0,0.6667,38.6667,0,38.6667,0,0,0,38.6667,0,0
144-74,69.3333,1.3333,4.6666,63.3334,4.6666,63.3334,1.3333,0,3.3333,63.3334,0,0
144-75,66.6668,2.6667,2.6667,61.3334,2.6667,61.3334,0,0,2.6667,61.3334,0,0
144-76,78.0001,4.6667,20.6667,52.6667,20.6667,52.6667,18.6667,0,2,52.6667,0,0
144-77,92.6666,0.6667,35.3333,56.6666,34,56.6666,32,0,2,56.6666,0,0
144-78,109.3334,2,57.3334,50,57.3334,50,53.3334,0,4,50,0,0
144-79,82.0001,0.6667,40.6667,40.6667,40.6667,40.6667,38,0,2.6667,40.6667,0,0
144-8,207.3333,4,46,157.3333,22.6667,154,22.6667,0,0,154,0,0
144-80,69.3334,0.6667,26,42.6667,26,42.6667,26,0,0,42.6667,0,0
144-81,64.0002,2,14.0001,48.0001,14.0001,48.0001,14.0001,0.6667,0,47.3334,0,0
144-82,78.6667,0.6667,13.3333,64.6667,13.3333,64.6667,12,0.6667,1.3333,64,0,0
144-83,74.6667,0,19.3334,55.3333,19.3334,55.3333,19.3334,0,0,55.3333,0,0
144-84,107.3334,0,34.0001,73.3333,34.0001,73.3333,34.0001,0.6667,0,72.6666,0,0
144-85,100,0,38.6667,61.3333,38.6667,61.3333,38.6667,0,0,61.3333,0,0
144-86,95.3334,0,54.0001,41.3333,54.0001,41.3333,53.3334,0,0.6667,41.3333,0,0
144-87,122.6667,0.6667,58,64,58,64,54.6667,0,3.3333,64,0,0
